epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.8493,0.0000,4.5006,0.0529,0.001000
2,4.1233,0.1667,4.2846,0.1206,0.000997
3,3.5347,0.6176,4.1025,0.1843,0.000989
4,3.0591,0.8627,3.9454,0.2196,0.000976
5,2.6176,0.9608,3.8102,0.2529,0.000957
6,2.2133,0.9902,3.6895,0.2627,0.000933
7,1.8441,1.0000,3.5767,0.2814,0.000905
8,1.5594,0.9902,3.4754,0.3000,0.000872
9,1.2818,1.0000,3.3878,0.3167,0.000835
10,1.0859,1.0000,3.3133,0.3382,0.000794
11,0.9347,1.0000,3.2513,0.3500,0.000750
12,0.7861,1.0000,3.2000,0.3539,0.000703
13,0.6969,1.0000,3.1584,0.3569,0.000655
14,0.6323,1.0000,3.1244,0.3578,0.000604
15,0.5637,1.0000,3.0954,0.3598,0.000552
16,0.5133,1.0000,3.0709,0.3637,0.000500
17,0.4744,1.0000,3.0509,0.3686,0.000448
18,0.4425,1.0000,3.0356,0.3696,0.000396
19,0.4115,1.0000,3.0233,0.3716,0.000345
20,0.3882,1.0000,3.0131,0.3716,0.000297
21,0.3856,1.0000,3.0046,0.3716,0.000250
22,0.3829,1.0000,2.9974,0.3735,0.000206
23,0.3589,1.0000,2.9919,0.3775,0.000165
24,0.3493,1.0000,2.9880,0.3765,0.000128
25,0.3511,1.0000,2.9851,0.3755,0.000095
26,0.3477,1.0000,2.9831,0.3755,0.000067
27,0.3311,1.0000,2.9818,0.3765,0.000043
28,0.3274,1.0000,2.9812,0.3784,0.000024
29,0.3437,1.0000,2.9810,0.3775,0.000011
30,0.3536,1.0000,2.9809,0.3784,0.000003
