epoch,train_loss,train_acc,val_loss,val_acc,lr
1,5.1643,0.0000,4.8152,0.0402,0.001000
2,2.9466,0.5882,4.9506,0.0520,0.000997
3,1.6153,0.8529,4.5235,0.0627,0.000989
4,0.9843,0.9216,4.6582,0.0559,0.000976
5,0.6215,0.9412,4.7079,0.0902,0.000957
6,0.4185,0.9706,4.1743,0.1353,0.000933
7,0.2563,0.9804,4.2140,0.1480,0.000905
8,0.2288,0.9804,4.3191,0.1549,0.000872
9,0.2597,0.9608,4.6500,0.1529,0.000835
10,0.1806,0.9804,4.3327,0.1735,0.000794
11,0.1792,0.9902,4.3361,0.1696,0.000750
12,0.1431,0.9804,4.2714,0.1833,0.000703
13,0.2274,0.9706,4.1532,0.1784,0.000655
14,0.1495,0.9804,4.2824,0.1598,0.000604
15,0.0999,0.9902,4.3485,0.1598,0.000552
16,0.0695,1.0000,4.4109,0.1480,0.000500
17,0.0946,0.9902,4.2377,0.1686,0.000448
18,0.0829,1.0000,4.0886,0.1863,0.000396
19,0.0525,1.0000,3.9531,0.2020,0.000345
20,0.0783,0.9902,3.8309,0.2118,0.000297
21,0.0650,1.0000,3.6990,0.2196,0.000250
22,0.0469,1.0000,3.6184,0.2245,0.000206
23,0.0400,1.0000,3.5907,0.2304,0.000165
24,0.0323,1.0000,3.5495,0.2382,0.000128
25,0.0374,1.0000,3.5186,0.2451,0.000095
26,0.0424,0.9902,3.5257,0.2480,0.000067
27,0.0380,1.0000,3.5277,0.2451,0.000043
28,0.0222,1.0000,3.5138,0.2461,0.000024
29,0.0242,1.0000,3.5108,0.2461,0.000011
30,0.0767,0.9902,3.5318,0.2461,0.000003
