epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.1039,0.1922,3.0136,0.5529,0.001000
2,1.9740,0.7794,1.5318,0.8157,0.000999
3,0.8370,0.9402,0.9742,0.8578,0.000996
4,0.4211,0.9775,0.7358,0.8980,0.000991
5,0.2368,0.9941,0.6291,0.9108,0.000984
6,0.1640,0.9990,0.5767,0.9069,0.000976
7,0.1159,1.0000,0.5113,0.9206,0.000965
8,0.0858,1.0000,0.4860,0.9127,0.000952
9,0.0680,1.0000,0.4678,0.9225,0.000938
10,0.0562,1.0000,0.4285,0.9245,0.000922
11,0.0466,1.0000,0.4228,0.9147,0.000905
12,0.0384,1.0000,0.4119,0.9167,0.000885
13,0.0330,1.0000,0.4022,0.9216,0.000864
14,0.0296,1.0000,0.3889,0.9245,0.000842
15,0.0258,1.0000,0.3765,0.9245,0.000819
16,0.0233,1.0000,0.3752,0.9196,0.000794
17,0.0210,1.0000,0.3612,0.9245,0.000768
18,0.0202,1.0000,0.3549,0.9294,0.000741
19,0.0183,1.0000,0.3510,0.9294,0.000713
20,0.0164,1.0000,0.3498,0.9245,0.000684
21,0.0156,1.0000,0.3519,0.9255,0.000655
22,0.0151,1.0000,0.3470,0.9265,0.000624
23,0.0138,1.0000,0.3386,0.9265,0.000594
24,0.0130,1.0000,0.3357,0.9275,0.000563
25,0.0123,1.0000,0.3367,0.9304,0.000531
26,0.0121,1.0000,0.3339,0.9294,0.000500
27,0.0119,1.0000,0.3334,0.9275,0.000469
28,0.0109,1.0000,0.3254,0.9304,0.000437
29,0.0106,1.0000,0.3293,0.9284,0.000406
30,0.0103,1.0000,0.3275,0.9294,0.000376
31,0.0098,1.0000,0.3255,0.9294,0.000345
32,0.0097,1.0000,0.3225,0.9304,0.000316
33,0.0097,1.0000,0.3219,0.9314,0.000287
34,0.0090,1.0000,0.3225,0.9304,0.000259
35,0.0089,1.0000,0.3203,0.9314,0.000232
36,0.0088,1.0000,0.3200,0.9314,0.000206
37,0.0084,1.0000,0.3173,0.9314,0.000181
38,0.0083,1.0000,0.3179,0.9314,0.000158
39,0.0084,1.0000,0.3175,0.9314,0.000136
40,0.0081,1.0000,0.3173,0.9304,0.000115
41,0.0080,1.0000,0.3162,0.9314,0.000095
42,0.0079,1.0000,0.3154,0.9314,0.000078
43,0.0083,1.0000,0.3161,0.9314,0.000062
44,0.0080,1.0000,0.3155,0.9314,0.000048
45,0.0077,1.0000,0.3156,0.9314,0.000035
46,0.0082,1.0000,0.3163,0.9314,0.000024
47,0.0080,1.0000,0.3163,0.9314,0.000016
48,0.0079,1.0000,0.3162,0.9314,0.000009
49,0.0074,1.0000,0.3163,0.9314,0.000004
50,0.0076,1.0000,0.3163,0.9314,0.000001
