epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.3536,0.2961,2.1104,0.4578,0.001000
2,1.1294,0.7676,1.1909,0.7078,0.000999
3,0.4443,0.9167,1.0089,0.7510,0.000996
4,0.2204,0.9608,0.7660,0.8088,0.000991
5,0.1304,0.9804,0.7159,0.8157,0.000984
6,0.0858,0.9882,0.7130,0.8176,0.000976
7,0.0748,0.9922,0.7259,0.8196,0.000965
8,0.0477,0.9931,0.6993,0.8196,0.000952
9,0.0622,0.9873,0.7221,0.8186,0.000938
10,0.0915,0.9794,1.1206,0.7333,0.000922
11,0.0885,0.9912,0.6874,0.8265,0.000905
12,0.0574,0.9863,0.8839,0.7863,0.000885
13,0.0911,0.9824,0.9095,0.8020,0.000864
14,0.0657,0.9882,0.6851,0.8245,0.000842
15,0.0482,0.9882,0.8002,0.8059,0.000819
16,0.1213,0.9775,1.0995,0.7373,0.000794
17,0.0735,0.9853,0.8350,0.8069,0.000768
18,0.0636,0.9863,0.6756,0.8314,0.000741
19,0.0338,0.9951,0.6226,0.8412,0.000713
20,0.0279,0.9961,0.6207,0.8471,0.000684
21,0.0292,0.9951,0.5361,0.8608,0.000655
22,0.0144,0.9961,0.4957,0.8784,0.000624
23,0.0242,0.9971,0.5419,0.8588,0.000594
24,0.0072,1.0000,0.4878,0.8765,0.000563
25,0.0037,1.0000,0.4765,0.8716,0.000531
26,0.0087,0.9980,0.4971,0.8755,0.000500
27,0.0032,1.0000,0.4850,0.8725,0.000469
28,0.0020,1.0000,0.4668,0.8735,0.000437
29,0.0022,1.0000,0.4567,0.8814,0.000406
30,0.0021,1.0000,0.4382,0.8863,0.000376
31,0.0016,1.0000,0.4412,0.8853,0.000345
32,0.0021,1.0000,0.4483,0.8833,0.000316
33,0.0012,1.0000,0.4503,0.8873,0.000287
34,0.0012,1.0000,0.4396,0.8882,0.000259
35,0.0013,1.0000,0.4386,0.8833,0.000232
36,0.0013,1.0000,0.4351,0.8882,0.000206
37,0.0011,1.0000,0.4361,0.8892,0.000181
38,0.0011,1.0000,0.4310,0.8931,0.000158
39,0.0010,1.0000,0.4346,0.8912,0.000136
40,0.0010,1.0000,0.4309,0.8902,0.000115
41,0.0010,1.0000,0.4329,0.8922,0.000095
42,0.0011,1.0000,0.4356,0.8922,0.000078
43,0.0012,1.0000,0.4346,0.8892,0.000062
44,0.0009,1.0000,0.4295,0.8873,0.000048
45,0.0008,1.0000,0.4337,0.8912,0.000035
46,0.0012,1.0000,0.4295,0.8902,0.000024
47,0.0008,1.0000,0.4312,0.8912,0.000016
48,0.0008,1.0000,0.4342,0.8922,0.000009
49,0.0009,1.0000,0.4279,0.8892,0.000004
50,0.0009,1.0000,0.4258,0.8931,0.000001
