epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.4832,0.1059,4.3979,0.1275,0.001000
2,2.4275,0.4627,3.3256,0.2824,0.000997
3,1.2488,0.7118,1.9786,0.5059,0.000989
4,0.6933,0.8431,2.1677,0.4951,0.000976
5,0.3929,0.9216,1.8009,0.5598,0.000957
6,0.2409,0.9549,1.9838,0.5529,0.000933
7,0.1860,0.9627,1.4974,0.6294,0.000905
8,0.1242,0.9784,1.4724,0.6431,0.000872
9,0.0891,0.9824,1.4204,0.6382,0.000835
10,0.0534,0.9961,1.2007,0.7176,0.000794
11,0.0358,0.9961,1.1600,0.7314,0.000750
12,0.0242,0.9961,1.2602,0.6931,0.000703
13,0.0202,0.9980,1.1584,0.7186,0.000655
14,0.0099,1.0000,1.0581,0.7382,0.000604
15,0.0084,1.0000,1.0167,0.7559,0.000552
16,0.0075,1.0000,0.9921,0.7637,0.000500
17,0.0047,1.0000,0.9741,0.7676,0.000448
18,0.0046,1.0000,0.9684,0.7686,0.000396
19,0.0037,1.0000,0.9582,0.7637,0.000345
20,0.0039,1.0000,0.9689,0.7647,0.000297
21,0.0040,1.0000,0.9619,0.7637,0.000250
22,0.0034,1.0000,0.9563,0.7637,0.000206
23,0.0039,1.0000,0.9514,0.7676,0.000165
24,0.0036,1.0000,0.9538,0.7657,0.000128
25,0.0031,1.0000,0.9483,0.7657,0.000095
26,0.0033,1.0000,0.9524,0.7676,0.000067
27,0.0032,1.0000,0.9437,0.7716,0.000043
28,0.0036,1.0000,0.9477,0.7745,0.000024
29,0.0031,1.0000,0.9421,0.7686,0.000011
30,0.0038,1.0000,0.9383,0.7696,0.000003
