epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.3250,0.1412,3.0499,0.3441,0.001000
2,1.8419,0.6647,1.8995,0.5686,0.000997
3,0.7067,0.9059,1.4766,0.6775,0.000989
4,0.2632,0.9745,1.3157,0.7108,0.000976
5,0.1142,0.9941,1.1212,0.7412,0.000957
6,0.0429,1.0000,0.9883,0.7735,0.000933
7,0.0313,0.9961,1.0009,0.7676,0.000905
8,0.0196,1.0000,0.9040,0.7882,0.000872
9,0.0118,1.0000,0.8638,0.7971,0.000835
10,0.0100,1.0000,0.8350,0.8029,0.000794
11,0.0077,1.0000,0.8189,0.8078,0.000750
12,0.0066,1.0000,0.8027,0.8127,0.000703
13,0.0063,1.0000,0.7927,0.8118,0.000655
14,0.0061,1.0000,0.7916,0.8098,0.000604
15,0.0049,1.0000,0.7877,0.8078,0.000552
16,0.0056,1.0000,0.7770,0.8078,0.000500
17,0.0053,1.0000,0.7751,0.8059,0.000448
18,0.0040,1.0000,0.7838,0.8078,0.000396
19,0.0038,1.0000,0.7724,0.8059,0.000345
20,0.0045,1.0000,0.7696,0.8108,0.000297
21,0.0035,1.0000,0.7667,0.8108,0.000250
22,0.0037,1.0000,0.7605,0.8118,0.000206
23,0.0037,1.0000,0.7630,0.8118,0.000165
24,0.0035,1.0000,0.7687,0.8118,0.000128
25,0.0031,1.0000,0.7641,0.8088,0.000095
26,0.0033,1.0000,0.7639,0.8147,0.000067
27,0.0033,1.0000,0.7591,0.8108,0.000043
28,0.0034,1.0000,0.7635,0.8078,0.000024
29,0.0033,1.0000,0.7652,0.8108,0.000011
30,0.0034,1.0000,0.7580,0.8118,0.000003
