epoch,train_loss,train_acc,val_loss,val_acc,lr
1,5.2238,0.0000,4.8992,0.0343,0.001000
2,2.7591,0.5294,4.6820,0.0598,0.000997
3,1.2958,0.9020,4.6184,0.0912,0.000989
4,0.8186,0.9216,4.5514,0.0922,0.000976
5,0.6031,0.8922,4.6474,0.0912,0.000957
6,0.4517,0.9314,4.7609,0.0980,0.000933
7,0.4220,0.9314,4.5083,0.1098,0.000905
8,0.3017,0.9608,4.3981,0.1167,0.000872
9,0.2025,0.9902,4.4484,0.1245,0.000835
10,0.1553,0.9706,4.4075,0.1343,0.000794
11,0.1455,0.9804,4.0806,0.1745,0.000750
12,0.1284,0.9804,4.2124,0.1618,0.000703
13,0.1346,1.0000,4.4938,0.1569,0.000655
14,0.1805,0.9804,4.3820,0.1588,0.000604
15,0.1627,0.9706,4.2397,0.1441,0.000552
16,0.0639,1.0000,4.1829,0.1559,0.000500
17,0.0965,0.9902,4.1693,0.1686,0.000448
18,0.1062,0.9804,4.1054,0.1863,0.000396
19,0.0660,1.0000,4.0466,0.2010,0.000345
20,0.0524,1.0000,3.9513,0.2176,0.000297
21,0.0686,1.0000,3.8483,0.2176,0.000250
22,0.0423,1.0000,3.8010,0.2294,0.000206
23,0.0338,1.0000,3.7726,0.2216,0.000165
24,0.0307,1.0000,3.7425,0.2225,0.000128
25,0.0332,1.0000,3.7195,0.2255,0.000095
26,0.0335,1.0000,3.7190,0.2294,0.000067
27,0.0414,0.9902,3.7490,0.2265,0.000043
28,0.0482,1.0000,3.7333,0.2265,0.000024
29,0.0861,0.9804,3.7014,0.2284,0.000011
30,0.0355,0.9902,3.6948,0.2265,0.000003
