epoch,train_loss,train_acc,val_loss,val_acc,lr
1,5.2303,0.0000,4.5866,0.0304,0.001000
2,2.6781,0.6863,4.5945,0.0569,0.000997
3,1.4260,0.9118,4.5456,0.0892,0.000989
4,0.8049,0.9608,4.1292,0.1304,0.000976
5,0.4212,1.0000,4.0484,0.1539,0.000957
6,0.2596,0.9902,4.8309,0.1186,0.000933
7,0.2209,0.9902,4.5735,0.1225,0.000905
8,0.1506,1.0000,4.0244,0.1559,0.000872
9,0.1383,1.0000,3.9739,0.1608,0.000835
10,0.1386,0.9902,3.7348,0.2108,0.000794
11,0.1116,1.0000,3.7232,0.2245,0.000750
12,0.0955,0.9902,3.8116,0.2196,0.000703
13,0.1139,0.9804,3.5728,0.2529,0.000655
14,0.0906,1.0000,3.7515,0.1971,0.000604
15,0.0737,1.0000,3.7336,0.2088,0.000552
16,0.0530,1.0000,3.7404,0.2108,0.000500
17,0.0842,0.9902,3.6756,0.2324,0.000448
18,0.0472,1.0000,3.5455,0.2441,0.000396
19,0.0361,1.0000,3.5224,0.2422,0.000345
20,0.0289,1.0000,3.4954,0.2333,0.000297
21,0.0775,0.9902,3.4259,0.2569,0.000250
22,0.0273,1.0000,3.4135,0.2578,0.000206
23,0.0325,1.0000,3.4327,0.2578,0.000165
24,0.0337,1.0000,3.4164,0.2549,0.000128
25,0.0233,1.0000,3.3939,0.2559,0.000095
26,0.0345,0.9902,3.3411,0.2637,0.000067
27,0.0318,0.9902,3.3264,0.2647,0.000043
28,0.0219,1.0000,3.3131,0.2667,0.000024
29,0.0308,1.0000,3.3604,0.2618,0.000011
30,0.0201,1.0000,3.3271,0.2696,0.000003
