epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.6660,0.2137,3.3248,0.2461,0.001000
2,1.6189,0.6529,2.1226,0.5078,0.000999
3,0.7874,0.8294,1.6082,0.5922,0.000996
4,0.4376,0.9039,1.1788,0.7147,0.000991
5,0.2674,0.9549,1.3897,0.6490,0.000984
6,0.1818,0.9696,1.0164,0.7500,0.000976
7,0.1339,0.9755,1.0498,0.7255,0.000965
8,0.1664,0.9696,1.1821,0.6814,0.000952
9,0.1189,0.9784,0.9005,0.7559,0.000938
10,0.0684,0.9912,1.1884,0.6941,0.000922
11,0.0605,0.9882,0.8788,0.7647,0.000905
12,0.0748,0.9824,1.2883,0.6755,0.000885
13,0.0996,0.9775,2.6697,0.4422,0.000864
14,0.1151,0.9716,1.1449,0.7225,0.000842
15,0.1009,0.9725,1.1002,0.7265,0.000819
16,0.0938,0.9824,1.1748,0.7108,0.000794
17,0.0712,0.9824,1.0577,0.7549,0.000768
18,0.1068,0.9804,1.0423,0.7353,0.000741
19,0.0458,0.9912,0.8027,0.7990,0.000713
20,0.0475,0.9912,0.7520,0.8059,0.000684
21,0.0181,0.9980,0.6283,0.8343,0.000655
22,0.0088,1.0000,0.5793,0.8441,0.000624
23,0.0044,1.0000,0.5610,0.8569,0.000594
24,0.0033,1.0000,0.5486,0.8588,0.000563
25,0.0031,1.0000,0.5267,0.8706,0.000531
26,0.0022,1.0000,0.5213,0.8686,0.000500
27,0.0021,1.0000,0.5247,0.8725,0.000469
28,0.0016,1.0000,0.5192,0.8706,0.000437
29,0.0016,1.0000,0.5149,0.8696,0.000406
30,0.0016,1.0000,0.5071,0.8686,0.000376
31,0.0012,1.0000,0.5101,0.8686,0.000345
32,0.0012,1.0000,0.5103,0.8735,0.000316
33,0.0010,1.0000,0.5060,0.8716,0.000287
34,0.0012,1.0000,0.5037,0.8735,0.000259
35,0.0011,1.0000,0.5062,0.8716,0.000232
36,0.0011,1.0000,0.5018,0.8725,0.000206
37,0.0010,1.0000,0.5004,0.8735,0.000181
38,0.0010,1.0000,0.4970,0.8755,0.000158
39,0.0009,1.0000,0.4993,0.8755,0.000136
40,0.0009,1.0000,0.4968,0.8794,0.000115
41,0.0011,1.0000,0.4896,0.8755,0.000095
42,0.0010,1.0000,0.4981,0.8765,0.000078
43,0.0009,1.0000,0.5028,0.8755,0.000062
44,0.0010,1.0000,0.4959,0.8775,0.000048
45,0.0009,1.0000,0.5019,0.8716,0.000035
46,0.0009,1.0000,0.5023,0.8735,0.000024
47,0.0009,1.0000,0.5020,0.8725,0.000016
48,0.0009,1.0000,0.4932,0.8765,0.000009
49,0.0010,1.0000,0.4971,0.8725,0.000004
50,0.0009,1.0000,0.4944,0.8765,0.000001
